date,trip
12/27/2015,24
12/28/2015,27
12/29/2015,10
12/30/2015,17
12/31/2015,18
1/1/2016,17
1/2/2016,20
1/3/2016,28
1/4/2016,16
1/5/2016,23
1/6/2016,29
1/7/2016,36
1/8/2016,51
1/9/2016,25
1/10/2016,12
1/11/2016,49
1/12/2016,38
1/13/2016,38
1/14/2016,31
1/15/2016,46
1/16/2016,23
1/17/2016,21
1/18/2016,15
1/19/2016,27
1/20/2016,38
1/21/2016,29
1/22/2016,38
1/23/2016,5
1/24/2016,14
1/25/2016,34
1/26/2016,40
1/27/2016,41
1/28/2016,51
1/29/2016,52
1/30/2016,44
1/31/2016,38
2/1/2016,82
2/2/2016,82
2/3/2016,51
2/4/2016,65
2/5/2016,12
2/6/2016,34
2/7/2016,30
2/8/2016,2
2/9/2016,38
2/10/2016,44
2/11/2016,41
2/12/2016,38
2/13/2016,17
2/14/2016,6
2/15/2016,16
2/16/2016,38
2/17/2016,55
2/18/2016,47
2/19/2016,58
2/20/2016,60
2/21/2016,42
2/22/2016,68
2/23/2016,55
2/24/2016,34
2/25/2016,65
2/26/2016,52
2/27/2016,34
2/28/2016,73
2/29/2016,67
3/1/2016,54
3/2/2016,52
3/3/2016,47
3/4/2016,50
3/5/2016,35
3/6/2016,35
3/7/2016,66
3/8/2016,62
3/9/2016,75
3/10/2016,34
3/11/2016,76
3/12/2016,113
3/13/2016,98
3/14/2016,47
3/15/2016,35
3/16/2016,83
3/17/2016,78
3/18/2016,69
3/19/2016,76
3/20/2016,35
3/21/2016,32
3/22/2016,48
3/23/2016,55
3/24/2016,47
3/25/2016,34
3/26/2016,69
3/27/2016,30
3/28/2016,45
3/29/2016,3
3/30/2016,68
3/31/2016,90
4/1/2016,101
4/2/2016,42
4/3/2016,40
4/4/2016,16
4/5/2016,49
4/6/2016,62
4/7/2016,46
4/8/2016,90
4/9/2016,66
4/10/2016,92
4/11/2016,75
4/12/2016,72
4/13/2016,83
4/14/2016,90
4/15/2016,116
4/16/2016,85
4/17/2016,123
4/18/2016,101
4/19/2016,101
4/20/2016,102
4/21/2016,135
4/22/2016,131
4/23/2016,123
4/24/2016,129
4/25/2016,88
4/26/2016,59
4/27/2016,93
4/28/2016,116
4/29/2016,119
4/30/2016,153
5/1/2016,63
5/2/2016,67
5/3/2016,63
5/4/2016,70
5/5/2016,79
5/6/2016,108
5/7/2016,109
5/8/2016,97
5/9/2016,70
5/10/2016,124
5/11/2016,146
5/12/2016,129
5/13/2016,101
5/14/2016,65
5/15/2016,34
5/16/2016,101
5/17/2016,133
5/18/2016,129
5/19/2016,130
5/20/2016,110
5/21/2016,157
5/22/2016,103
5/23/2016,114
5/24/2016,83
5/25/2016,114
5/26/2016,109
5/27/2016,120
5/28/2016,118
5/29/2016,124
5/30/2016,83
5/31/2016,146
6/1/2016,117
6/2/2016,109
6/3/2016,99
6/4/2016,145
6/5/2016,44
6/6/2016,128
6/7/2016,108
6/8/2016,113
6/9/2016,123
6/10/2016,114
6/11/2016,107
6/12/2016,149
6/13/2016,131
6/14/2016,117
6/15/2016,118
6/16/2016,132
6/17/2016,137
6/18/2016,143
6/19/2016,146
6/20/2016,141
6/21/2016,126
6/22/2016,118
6/23/2016,127
6/24/2016,157
6/25/2016,152
6/26/2016,131
6/27/2016,134
6/28/2016,108
6/29/2016,116
6/30/2016,127
7/1/2016,133
7/2/2016,161
7/3/2016,112
7/4/2016,139
7/5/2016,123
7/6/2016,130
7/7/2016,143
7/8/2016,129
7/9/2016,106
7/10/2016,98
7/11/2016,149
7/12/2016,141
7/13/2016,120
7/14/2016,124
7/15/2016,138
7/16/2016,124
7/17/2016,158
7/18/2016,124
7/19/2016,147
7/20/2016,147
7/21/2016,152
7/22/2016,145
7/23/2016,76
7/24/2016,115
7/25/2016,128
7/26/2016,143
7/27/2016,156
7/28/2016,118
7/29/2016,129
7/30/2016,133
7/31/2016,95
8/1/2016,137
8/2/2016,119
8/3/2016,149
8/4/2016,161
8/5/2016,172
8/6/2016,143
8/7/2016,154
8/8/2016,124
8/9/2016,119
8/10/2016,89
8/11/2016,98
8/12/2016,128
8/13/2016,155
8/14/2016,120
8/15/2016,106
8/16/2016,97
8/17/2016,113
